Latitude	Longitude	Group
40.50493	-89.60905	07008
38.42928	-89.27032	07695
45.22003	-71.22433	03781
40.79268	-88.12947	04607
43.62457	-94.87922	00716
47.47923	-105.05116	00067
34.75486	-95.63062	04775
41.27311	-89.78527	04327
37.71188	-102.81028	01763
40.19737	-89.10491	04707
43.54519	-87.90389	05133
43.22918	-96.07507	00877
41.88256	-92.87723	03777
44.59240	-96.07143	01824
40.34872	-88.07026	04665
41.51049	-103.76555	00068
35.80171	-100.37040	00118
47.05775	-105.69150	00018
43.96458	-88.07454	04975
47.20328	-103.01971	00377
40.13123	-78.14240	06702
41.01706	-84.79115	05777
48.85987	-103.03808	01313
36.43988	-101.58607	01075
42.27647	-74.48486	00138
42.89902	-90.13210	05180
42.32660	-101.41859	00029
43.13525	-94.85231	00996
38.60829	-97.30113	00761
45.49892	-95.22103	03829
39.76143	-77.98100	06888
37.11230	-81.43060	05369
35.44598	-99.54258	01710
42.72703	-84.85087	06751
35.48233	-98.70640	01030
47.21930	-96.34740	04495
45.01382	-103.45570	00057
40.27388	-84.68134	06389
36.10693	-95.41843	04725
42.30216	-101.04925	00111
39.69572	-79.32194	06359
43.52381	-72.61603	05262
43.58051	-93.32411	03164
40.67261	-78.41420	06950
35.95618	-101.45580	00502
43.31595	-97.43039	00382
38.40668	-101.40202	01258
47.52972	-102.88679	00015
44.21114	-98.25197	02766
44.18885	-95.57624	00256
43.76691	-92.67108	00892
46.93760	-102.42155	00349
48.63848	-102.26904	00582
42.20626	-73.00980	06857
40.98513	-86.91718	04786
42.77084	-78.35538	04915
42.78694	-78.01859	04987
43.46973	-82.93478	06205
44.67839	-91.25626	05679
44.09882	-98.61880	00228
44.94028	-73.94155	04594
47.94650	-95.85913	05113
43.48020	-72.23099	03985
47.10897	-101.23542	01520
42.36728	-89.15717	05245
42.76961	-96.01250	00391
35.02292	-95.18169	04702
43.56747	-83.35262	05364
36.57744	-99.95543	01547
47.15372	-100.73030	00603
36.77411	-83.41013	06642
46.25923	-97.71352	03165
37.73289	-96.55138	00476
39.90610	-95.48698	03221
40.51681	-88.34664	04247
42.46425	-73.34647	05472
34.86283	-76.51309	05131
43.57753	-83.60265	05704
42.15982	-77.57147	05471
35.83238	-93.64338	04905
44.06072	-92.29837	03250
41.44835	-94.57122	01094
43.24326	-99.95585	00259
38.68842	-87.32999	07295
42.92011	-102.29906	00049
44.45900	-71.06245	01412
40.96153	-88.38477	04209
36.18267	-95.41311	04772
42.93184	-88.55606	06839
34.91806	-98.55987	00214
35.85438	-98.94042	02029
42.85182	-95.36516	00777
41.12147	-88.72387	04672
46.21766	-96.80380	02904
48.15846	-96.10236	05110
43.41634	-100.16044	00095
